client_id,age,job,marital,education,credit_default,housing,loan,contact,month,day,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
10297,36,technician,married,university.degree,no,no,no,telephone,jun,23,1093,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,yes
10298,40,admin.,single,university.degree,unknown,no,yes,telephone,jun,19,270,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10299,43,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,9,1395,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,yes
10300,35,student,single,university.degree,unknown,yes,no,telephone,jun,4,178,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10301,32,services,single,high.school,no,no,no,telephone,jun,16,223,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10302,56,blue-collar,single,basic.6y,unknown,no,no,telephone,jun,20,35,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10303,28,blue-collar,married,basic.9y,no,yes,yes,telephone,jun,11,210,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10304,43,admin.,married,high.school,no,no,no,telephone,jun,2,193,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10305,38,entrepreneur,married,basic.4y,no,no,no,telephone,jun,2,822,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10306,41,unemployed,divorced,high.school,no,no,no,telephone,jun,21,163,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10307,53,entrepreneur,married,basic.4y,no,no,no,telephone,jun,18,339,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10308,32,blue-collar,married,high.school,no,no,yes,telephone,jun,3,140,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10309,30,technician,married,university.degree,no,unknown,unknown,telephone,jun,20,71,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10310,40,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,18,1238,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10311,47,services,married,unknown,unknown,no,no,telephone,jun,17,32,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10312,52,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,24,116,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10313,59,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,20,64,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10314,33,admin.,married,university.degree,no,no,yes,telephone,jun,20,77,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10315,29,admin.,single,university.degree,no,no,no,telephone,jun,11,73,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10316,56,services,divorced,basic.4y,no,no,no,telephone,jun,15,42,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10317,52,admin.,divorced,high.school,no,no,no,telephone,jun,11,24,5,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10318,46,unknown,married,basic.4y,unknown,yes,no,telephone,jun,4,25,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10319,37,admin.,divorced,university.degree,no,no,no,telephone,jun,12,147,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10320,33,blue-collar,married,basic.9y,no,no,no,telephone,jun,14,145,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10321,57,services,divorced,high.school,unknown,yes,no,telephone,jun,25,80,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10322,60,management,married,unknown,unknown,yes,no,telephone,jun,18,35,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10323,36,admin.,married,university.degree,no,yes,no,telephone,jun,15,141,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10324,34,blue-collar,married,basic.9y,no,no,no,telephone,jun,22,263,8,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10325,38,admin.,married,high.school,no,no,no,telephone,jun,22,123,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10326,31,blue-collar,married,basic.9y,no,yes,no,telephone,jun,7,208,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10327,25,student,single,high.school,no,yes,yes,telephone,jun,19,100,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10328,42,technician,married,university.degree,unknown,yes,no,telephone,jun,20,91,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
10329,29,admin.,single,basic.9y,unknown,no,no,telephone,jun,26,1298,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
